iter	Passed	Remaining
139	63500	163287
140	63928	162768
141	64403	162368
142	64872	161955
143	65287	161405
144	65745	160962
145	66128	160338
146	66532	159768
147	66972	159285
148	67454	158902
149	67845	158306
150	68322	157910
151	68698	157283
152	69139	156805
153	69560	156284
154	69996	155798
155	70441	155331
156	70843	154773
157	71321	154378
158	71684	153737
159	72149	153317
160	72587	152840
161	73041	152395
162	73467	151892
163	73940	151488
164	74379	151013
165	74817	150536
166	75180	149910
167	75520	149242
168	75970	148794
169	76397	148301
170	76841	147840
171	77279	147369
172	77729	146921
173	78173	146462
174	78560	145897
175	78991	145416
176	79471	145023
177	79846	144442
178	80232	143880
179	80660	143395
180	81036	142821
181	81468	142345
182	81945	141949
183	82343	141415
184	82801	140986
185	83220	140490
186	83638	139993
187	84104	139577
188	84502	139049
189	84979	138650
190	85454	138247
191	85914	137821
192	86310	137291
193	86771	136865
194	87198	136387
195	87602	135872
196	88018	135379
197	88452	134913
198	88843	134381
199	89321	133982
200	89813	133602
201	90258	133153
202	90739	132756
203	91194	132321
204	91558	131755
205	92047	131368
206	92431	130833
207	92830	130319
208	93251	129838
209	93701	129397
210	94176	128990
211	94655	128589
212	95017	128028
213	95414	127516
214	95876	127091
215	96355	126689
216	96781	126217
217	97205	125743
218	97613	125248
219	98049	124789
220	98566	124434
221	99015	123992
222	99517	123615
223	99931	123129
224	100374	122679
225	100858	122280
226	101262	121782
227	101751	121387
228	102124	120854
229	102566	120403
230	103037	119987
231	103468	119524
232	103868	119025
233	104319	118585
234	104760	118134
235	105129	117603
236	105540	117119
237	105914	116595
238	106345	116134
239	106713	115606
240	107212	115219
241	107664	114782
242	108081	114308
243	108577	113916
244	109018	113467
245	109450	113010
246	109915	112585
247	110401	112182
248	110837	111727
249	111249	111249
250	111681	110791
251	112029	110251
252	112488	109820
253	112859	109305
254	113311	108867
255	113760	108428
256	114309	108082
257	114937	107809
258	115373	107355
259	115930	107013
260	116471	106653
261	116889	106181
262	117410	105803
263	117831	105334
264	118331	104935
265	118890	104588
266	119352	104154
267	119833	103736
268	120374	103370
269	120791	102896
270	121236	102447
271	121750	102055
272	122241	101643
273	122787	101276
274	123215	100812
275	123718	100409
276	124152	99949
277	124558	99467
278	124971	98991
279	125479	98591
280	125957	98166
281	126453	97754
282	126925	97324
283	127349	96857
284	127870	96464
285	128335	96026
286	128902	95666
287	129453	95292
288	130000	94913
289	130418	94440
290	130912	94023
291	131415	93610
292	132207	93402
293	133129	93281
294	133690	92903
295	134150	92455
296	134673	92049
297	135040	91537
298	135512	91097
299	136036	90691
300	136528	90263
301	137067	89865
302	137548	89429
303	137988	88966
304	138474	88532
305	138863	88037
306	139346	87602
307	139797	87146
308	140229	86679
309	140726	86251
310	141225	85825
311	141631	85342
312	142080	84885
313	142680	84517
314	143149	84071
315	143644	83641
316	144099	83186
317	144648	82785
318	145103	82331
319	145515	81852
320	145966	81395
321	146409	80934
322	146808	80449
323	147279	80003
324	147740	79552
325	148198	79100
326	148665	78651
327	149081	78176
328	149509	77708
329	150029	77287
330	150472	76827
331	150826	76321
332	151307	75881
333	151730	75410
334	152168	74948
335	152606	74486
336	152991	73998
337	153469	73556
338	153965	73122
339	154391	72654
340	154853	72204
341	155294	71744
342	155817	71321
343	156195	70832
344	156604	70358
345	157014	69885
346	157447	69422
347	157909	68971
348	158254	68471
349	158663	67998
350	159090	67534
351	159553	67084
352	160013	66634
353	160486	66189
354	160858	65702
355	161193	65201
356	161642	64747
357	162142	64313
358	162531	63835
359	162960	63373
360	163405	62917
361	163831	62455
362	164193	61968
363	164640	61513
364	165110	61068
365	165526	60602
366	166023	60166
367	166503	59724
368	167027	59297
369	167486	58846
370	167868	58369
371	168236	57887
372	168606	57407
373	169008	56938
374	169434	56478
375	169869	56020
376	170269	55552
377	170681	55087
378	171088	54621
379	171457	54144
380	171908	53693
381	172363	53243
382	172758	52774
383	173110	52293
384	173509	51827
385	173866	51349
386	174269	50885
387	174664	50418
388	175097	49963
389	175582	49523
390	175926	49043
391	176452	48614
392	176927	48171
393	177414	47730
394	177894	47288
395	178356	46841
396	178751	46376
397	179168	45917
398	179607	45464
399	180120	45030
400	180573	44580
401	181036	44133
402	181489	43683
403	181984	43243
404	182418	42789
405	182791	42321
406	183116	41842
407	183524	41382
408	183940	40925
409	184418	40482
410	184898	40038
411	185379	39595
412	185893	39159
413	186335	38707
414	186714	38242
415	187158	37791
416	187546	37329
417	187965	36873
418	188369	36415
419	188799	35961
420	189176	35498
421	189668	35057
422	190032	34592
423	190460	34139
424	190864	33681
425	191268	33225
426	191805	32791
427	192200	32332
428	192613	31877
429	193047	31426
430	193397	30961
431	193842	30512
432	194332	30069
433	194793	29622
434	195220	29170
435	195635	28717
436	196079	28267
437	196594	27828
438	197004	27374
439	197447	26924
440	197896	26475
441	198335	26025
442	198793	25578
443	199142	25117
444	199468	24653
445	199927	24206
446	200333	23753
447	200779	23304
448	201215	22855
449	201636	22404
450	202035	21950
451	202528	21507
452	202926	21054
453	203419	20610
454	203878	20163
455	204302	19713
456	204856	19275
457	205427	18838
458	205948	18396
459	206450	17952
460	206957	17508
461	207368	17056
462	207884	16612
463	208341	16164
464	208826	15718
465	209278	15269
466	209730	14820
467	210227	14374
468	210641	13923
469	211064	13472
470	211472	13020
471	211939	12572
472	212470	12128
473	212815	11673
474	213216	11221
475	213635	10771
476	214009	10319
477	214366	9866
478	214769	9415
479	215245	8968
480	215665	8519
481	216141	8071
482	216599	7623
483	217115	7177
484	217546	6728
485	218011	6280
486	218396	5829
487	218911	5383
488	219288	4932
489	219739	4484
490	220213	4036
491	220658	3587
492	221129	3139
493	221561	2691
494	221998	2242
495	222408	1793
496	222847	1345
497	223397	897
498	223788	448
499	224310	0
